Layer,Kernel Shape,Output Shape,Params,Mult-Adds
163_transformer_06.leff.Linear_fc2,"[128, 128]","[512, 8, 8, 128]",16512.0,16384.0
164_transformer_6.LayerNorm_layer_norm_1,[128],"[512, 64, 128]",256.0,128.0
165_transformer_6.wind_attn.qkv.Linear_get_qkv,"[128, 384]","[512, 64, 384]",49536.0,49152.0
166_transformer_6.wind_attn.Softmax_get_attention_scores,-,"[512, 8, 64, 64]",,
167_transformer_6.wind_attn.Dropout_drop_1,-,"[512, 8, 64, 64]",,
168_transformer_6.wind_attn.Linear_proj,"[128, 128]","[512, 64, 128]",16512.0,16384.0
169_transformer_6.wind_attn.Dropout_drop_2,-,"[512, 64, 128]",,
170_transformer_6.LayerNorm_layer_norm_2,[128],"[512, 8, 8, 128]",256.0,128.0
171_transformer_6.leff.Linear_fc1,"[128, 128]","[512, 8, 8, 128]",16512.0,16384.0
172_transformer_6.leff.GELU_act_1,-,"[512, 8, 8, 128]",,
173_transformer_6.leff.Conv2d_conv,"[128, 128, 3, 3]","[512, 128, 8, 8]",147584.0,9437184.0
174_transformer_6.leff.GELU_act_2,-,"[512, 128, 8, 8]",,
175_transformer_6.leff.Linear_fc2,"[128, 128]","[512, 8, 8, 128]",16512.0,16384.0
176_upsampling_3.ConvTranspose2d_transp_conv,"[32, 128, 2, 2]","[32, 32, 64, 64]",16416.0,67108864.0
177_transformer_07.LayerNorm_layer_norm_1,[64],"[2048, 64, 64]",128.0,64.0
178_transformer_07.wind_attn.qkv.Linear_get_qkv,"[64, 192]","[2048, 64, 192]",12480.0,12288.0
179_transformer_07.wind_attn.Softmax_get_attention_scores,-,"[2048, 4, 64, 64]",,
180_transformer_07.wind_attn.Dropout_drop_1,-,"[2048, 4, 64, 64]",,
181_transformer_07.wind_attn.Linear_proj,"[64, 64]","[2048, 64, 64]",4160.0,4096.0
182_transformer_07.wind_attn.Dropout_drop_2,-,"[2048, 64, 64]",,
183_transformer_07.LayerNorm_layer_norm_2,[64],"[2048, 8, 8, 64]",128.0,64.0
184_transformer_07.leff.Linear_fc1,"[64, 64]","[2048, 8, 8, 64]",4160.0,4096.0
185_transformer_07.leff.GELU_act_1,-,"[2048, 8, 8, 64]",,
186_transformer_07.leff.Conv2d_conv,"[64, 64, 3, 3]","[2048, 64, 8, 8]",36928.0,2359296.0
187_transformer_07.leff.GELU_act_2,-,"[2048, 64, 8, 8]",,
188_transformer_07.leff.Linear_fc2,"[64, 64]","[2048, 8, 8, 64]",4160.0,4096.0
189_transformer_7.LayerNorm_layer_norm_1,[64],"[2048, 64, 64]",128.0,64.0
190_transformer_7.wind_attn.qkv.Linear_get_qkv,"[64, 192]","[2048, 64, 192]",12480.0,12288.0
191_transformer_7.wind_attn.Softmax_get_attention_scores,-,"[2048, 4, 64, 64]",,
192_transformer_7.wind_attn.Dropout_drop_1,-,"[2048, 4, 64, 64]",,
193_transformer_7.wind_attn.Linear_proj,"[64, 64]","[2048, 64, 64]",4160.0,4096.0
194_transformer_7.wind_attn.Dropout_drop_2,-,"[2048, 64, 64]",,
195_transformer_7.LayerNorm_layer_norm_2,[64],"[2048, 8, 8, 64]",128.0,64.0
196_transformer_7.leff.Linear_fc1,"[64, 64]","[2048, 8, 8, 64]",4160.0,4096.0
197_transformer_7.leff.GELU_act_1,-,"[2048, 8, 8, 64]",,
198_transformer_7.leff.Conv2d_conv,"[64, 64, 3, 3]","[2048, 64, 8, 8]",36928.0,2359296.0
199_transformer_7.leff.GELU_act_2,-,"[2048, 64, 8, 8]",,
200_transformer_7.leff.Linear_fc2,"[64, 64]","[2048, 8, 8, 64]",4160.0,4096.0
201_upsampling_4.ConvTranspose2d_transp_conv,"[16, 64, 2, 2]","[32, 16, 128, 128]",4112.0,67108864.0
202_transformer_08.LayerNorm_layer_norm_1,[32],"[8192, 64, 32]",64.0,32.0
203_transformer_08.wind_attn.qkv.Linear_get_qkv,"[32, 96]","[8192, 64, 96]",3168.0,3072.0
